company_id,hubspot_deal_id,employee_sent_invitations_count,employee_first_invitation_sent_in_days,employee_accepted_invitations_count,employee_first_invitation_accepted_in_days,boss_sent_invitations_count,boss_first_invitation_sent_in_days,boss_accepted_invitations_count,boss_first_invitation_accepted_in_days,active_employees_count,work_schedules_count,adjustments_count,adjustment_suggestions_count,active_geofences_count,hour_parametrizations_count,reports_count,imported_afd_reports_count,vacation_requests_count,vacations_count,timetrackings_count,imported_timetrackings_count,days_to_decision,won
34398,9140975493,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34399,9141276223,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15,0
34401,9141347459,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,14,0
34402,9141305522,13,0,8,0,0,-1,0,-1,7,2,0,0,0,0,3,0,0,0,345,0,18,1
34403,9141345711,2,0,2,0,0,-1,0,-1,2,2,0,0,1,0,0,0,0,0,63,0,21,1
34404,9141572923,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,14,0
34405,9141615934,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34407,9141648730,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,35,0
34408,9141667590,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34409,9142516005,1,0,1,0,0,-1,0,-1,0,3,1,0,0,0,7,0,0,0,8,0,78,0
34410,9143098961,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
34411,9143185836,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34412,9143888952,2,0,2,0,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,1,0,20,0
34413,9143312264,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0,6,0
34414,9144248924,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,4,0,0,0,1,0,15,0
34415,9144593781,1,0,1,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,27,0
34416,9144437647,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
34417,9144497470,2,0,2,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,18,0
34418,9144762164,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34419,9144689831,0,-1,0,-1,0,-1,0,-1,32,1,16,0,0,0,3,2,0,0,0,31622,12,1
34420,9144834979,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34422,9144988998,2,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,22,0
34423,9145024806,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
34424,9144970525,2,2,2,2,0,-1,0,-1,0,3,0,0,0,0,1,0,0,0,1,0,12,0
34425,9145599151,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,3,0,0,0,1,0,8,0
34427,9145186920,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
34428,9145194922,2,0,2,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,2,0,32,0
34430,9145845792,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
34431,9145918524,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34432,9145991575,1,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,6,0
34433,9146058364,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
34434,9145539870,17,0,17,0,0,-1,0,-1,5,6,0,0,27,0,1,0,0,0,235,0,39,1
34435,9147018838,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,34,0
34436,9147357207,4,1,4,1,0,-1,0,-1,3,4,44,0,0,0,5,0,0,0,162,0,38,1
34437,9147688245,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,27,0
34438,9151923302,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,61,0,38,0
34439,9150680378,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
